"actual_wt=>history:114, today:116",2019-02-24 00:40:58
"act_delta=>history:0, today:2",2019-02-24 00:40:58
"actual_wt=>history:122, today:124",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:16.9901, today:17.1724",2019-02-24 00:40:58
"act_delta=>history:0, today:2",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:16.9207, today:16.9293",2019-02-24 00:40:59
"actual_wt=>history:118, today:121",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.1038, today:16.8736",2019-02-24 00:40:59
"act_delta=>history:-3, today:0",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:0.0, today:16.2083",2019-02-24 00:40:59
"actual_wt=>history:116, today:118",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.0758, today:16.7991",2019-02-24 00:40:59
"act_delta=>history:-2, today:0",2019-02-24 00:40:59
"actual_wt=>history:117, today:119",2019-02-24 00:40:59
"act_delta=>history:1, today:3",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.1812, today:17.0037",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.9194, today:16.4999",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.442, today:17.0487",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.34, today:16.6776",2019-02-24 00:40:59
"actual_wt=>history:120, today:122",2019-02-24 00:40:59
"act_delta=>history:-1, today:1",2019-02-24 00:40:59
"actual_wt=>history:113, today:116",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.6646, today:17.032",2019-02-24 00:40:59
"act_delta=>history:2, today:5",2019-02-24 00:40:59
"actual_wt=>history:114, today:113",2019-02-24 00:40:59
"act_delta=>history:-1, today:-2",2019-02-24 00:40:59
"actual_wt=>history:117, today:119",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.9375, today:16.3199",2019-02-24 00:40:59
"act_delta=>history:-2, today:0",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.6974, today:16.6313",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.313, today:17.1174",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:0.0, today:17.0036",2019-02-24 00:40:59
"actual_wt=>history:115, today:118",2019-02-24 00:40:59
"act_delta=>history:-7, today:-4",2019-02-24 00:40:59
"actual_wt=>history:112, today:114",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:16.8555, today:16.5697",2019-02-24 00:40:59
"act_delta=>history:-3, today:-1",2019-02-24 00:40:59
"actual_wt=>history:111, today:113",2019-02-24 00:40:59
"act_delta=>history:-3, today:-1",2019-02-24 00:40:59
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:59
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:59
"go_aversr_horse=>history:17.0618, today:17.1068",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:16.656, today:16.5061",2019-02-24 00:41:00
"actual_wt=>history:114, today:116",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:17.2725, today:17.1626",2019-02-24 00:41:00
